"Rock Type (Limestone-1,Shale-3,Sandstone-4,Basalt-5,Granite-6)",Density (g/cc),UCS (MPa),RQD (%),Hardness,Joint Spacing (m),Joint Orientation (deg),Fracture Frequency (/m),Charge per Hole (kg),Powder Factor (kg/m3),Delay Timing (ms),"Initiation Sequence (Line-1,Staggered-2,Diagonal-3,Vpattern-4)",Burden (m),Spacing (m),Bench Height (m),Hole Diameter (mm),Hole Depth (m),Sub Drilling (m),Stemming Length (m),"Explosive Type(Emulsion-1,ANFO-2,Slurry-3)",Bench Width (m),Slope Angle (deg),Overall Slope Angle (deg),Pit Length (m),Temperature (C),Rainfall (mm),Humidity (%),Flyrock Distance (m)
3,2.41,48.5,81.1,7,1.11,61,3,272.4,0.7,405,3,2.82,2.88,6.09,76,7.94,0.88,2.56,2,6.19,50,50,662.7,44,201,33,34.36
3,2.47,32.9,20.1,7,0.89,8,7,423.4,0.64,277,3,3.92,5.48,8.42,143,9.4,0.87,3.88,3,8.31,51,42,188.6,39,8,61,40.43
4,2.54,79.6,24.3,5,1.88,15,11,253.3,0.56,352,2,5.76,7.12,14.36,128,15.84,1.46,4.26,1,14.78,66,31,712.7,25,286,51,39.63
3,2.55,166,42,6,1,86,11,268.4,0.53,105,2,5.44,5.44,14.19,220,14.96,2.01,4.05,1,5.77,75,45,296,24,101,64,35.74
5,2.75,285.9,41,3,2.22,17,2,463.1,0.66,478,3,4.16,5.05,12.39,172,14.2,1.29,3.88,3,15.19,72,51,498.9,26,101,80,39.34
3,2.38,292.6,29,4,1.31,23,11,138.2,0.35,312,3,5.09,7.13,11.14,156,11.88,1.32,3.81,1,5.26,59,50,126,27,59,65,14.81
5,2.97,251.7,20.2,9,0.52,44,1,386.3,0.71,387,2,4.42,5.68,11.58,124,12.35,1.64,3.47,1,15.64,49,43,718.3,39,44,77,54.15
1,2.56,66.5,23.9,8,1.5,83,8,217.8,0.39,269,3,3.41,4.15,8.38,96,8.89,1.67,2.72,2,7.33,62,30,947.9,35,246,57,19.9
1,2.8,192.5,56.2,7,0.22,4,3,227.5,0.36,477,2,3.09,3.86,8.24,140,9.79,0.86,3.01,1,19.39,49,37,502.7,24,62,32,25.94
5,2.38,22.2,88,4,1.98,82,5,362.6,0.77,313,4,2.5,3.48,6.85,222,8.35,1.25,1.92,1,10.67,74,35,604.3,41,232,91,51.71
5,2.89,273.6,90.8,9,1.31,30,8,318,0.96,459,2,3.78,5.53,9.6,195,10.63,0.95,2.85,1,16.65,51,37,668.1,21,107,52,69.62
4,2.4,119.9,58.3,3,2.31,12,7,407.8,0.4,141,4,3.34,4.11,9.26,118,11.23,1.23,2.96,1,15.53,45,49,784.4,30,290,69,41.21
1,2.27,124.2,98.5,8,1.08,1,1,240.3,0.35,67,2,3.39,3.79,8.86,199,9.6,0.83,3.25,1,19.7,57,32,704.3,23,275,39,29.06
5,2.41,50.7,57.4,10,0.61,31,15,276.7,0.98,445,3,2.57,3.3,6.36,97,7.51,1.03,1.95,1,19.96,65,38,164.1,37,70,92,57.73
6,2.33,211.4,42.4,6,2.4,69,2,333.4,0.83,358,1,4.37,6.09,11.42,114,13.02,1.34,4.09,3,16.5,52,42,639.3,45,175,31,43.76
6,2.54,248.3,79.5,5,2.22,79,11,452.6,0.72,172,1,5.59,5.98,11.76,144,13.48,2.61,4.22,1,17.87,45,40,527.2,35,31,71,55.15
6,2.32,54.6,82.6,8,0.62,46,8,313.7,0.36,398,4,3.2,4.55,6.78,93,7.64,0.95,2.53,2,15.65,56,44,606.2,28,251,57,30.05
4,2.72,152,64.3,7,0.34,15,8,242,0.45,221,3,5.12,7.6,12.91,184,13.5,1.65,4.1,2,16.25,52,34,637.6,25,298,54,25.48
4,2.33,175.7,71.6,8,0.27,63,2,207.4,0.95,403,1,6.22,6.95,14.2,215,14.75,1.54,4.47,1,13.62,61,53,680,28,94,42,48.73
3,2.76,120.3,33.8,9,0.39,29,5,322.8,0.87,463,1,3.49,4.29,8.67,155,9.83,1.16,2.85,1,9.8,70,37,875.4,27,116,94,50.34
5,2.41,23.9,60.2,10,0.79,33,11,243,0.35,30,4,2.57,2.77,6.05,191,7.14,0.67,2.55,1,5.74,46,37,519.7,24,296,62,22.4
4,2.75,255.4,85.4,4,0.43,68,2,297.7,0.56,263,4,6,8.61,15,99,15.69,1.93,5.69,1,13.95,75,35,977.1,39,24,42,33.38
4,2.89,246,24.1,4,0.13,72,8,243.1,0.89,122,4,4.24,6.3,10.88,77,12.02,1.1,3.14,1,11.23,56,42,522,26,103,82,46.39
4,2.33,235.4,27.2,6,2.15,10,11,237.8,0.93,354,3,5.47,7.19,13.84,97,14.87,2.41,4.14,2,10.32,51,37,859.3,35,127,60,43.27
3,2.74,147.7,56.7,5,1.31,48,1,56.3,0.43,339,2,3.64,4.53,8.32,137,9.9,0.96,2.74,3,18.05,71,45,990.2,33,222,78,23.78
1,2.27,294.3,46,10,1.78,20,8,86.8,0.37,55,1,6.14,7.38,13.06,190,13.69,2.6,4.5,2,18.24,60,31,645.1,37,214,55,20.58
5,2.94,107.7,38.8,5,0.62,21,8,368.2,0.44,290,3,2.53,3.31,7.02,226,7.59,1.17,2.4,3,16.61,65,36,572.4,34,129,35,24.57
5,2.39,52.5,34.8,3,1.88,10,4,478.6,0.94,325,1,5.03,5.86,10.75,132,11.49,1.57,4.81,1,12.75,60,40,394.4,39,245,84,50.75
6,2.69,294.4,80.8,6,0.23,59,5,333.1,0.47,347,4,4.78,6.92,14.24,87,14.99,1.69,3.47,1,15.47,55,48,693.4,39,233,97,32.45
4,2.75,237.1,23.3,4,2.14,26,8,369.6,0.7,34,4,5.99,7.86,13.85,176,15.74,1.73,5.55,3,17.25,69,49,880.1,40,276,94,29.38
3,2.51,83.2,99.8,3,2.45,79,10,255.9,0.52,394,4,3.21,4.69,7.38,241,9.08,1.15,3.04,2,11.85,69,34,894.4,23,259,87,29.96
3,2.26,120.8,82.7,5,0.34,81,5,51.4,0.41,59,3,4.99,7.37,13.54,234,14.79,1.64,3.72,2,10.44,68,45,827.6,24,187,87,8.73
3,2.79,204.3,98.8,10,0.63,43,7,450.5,0.59,35,1,5.65,8.44,12.3,183,14.13,1.6,5.28,1,7.6,64,55,809.5,31,31,82,43.61
4,2.67,151.2,99.3,8,1.79,77,15,371.7,0.81,249,1,2.89,3.68,7.51,101,8.23,0.84,2.1,2,8.75,59,35,180.5,28,116,64,58.61
5,2.37,62.9,26.9,10,2.18,59,4,84.2,0.7,385,2,6.57,9.07,14.05,209,14.65,2.02,5.34,1,15.16,73,44,255.8,32,280,58,30.97
6,2.65,267.4,54.8,5,0.77,44,10,154.3,0.76,359,2,2.28,2.7,6.73,107,8.62,0.77,2.07,3,10.28,61,49,618.4,25,155,71,32.59
3,2.56,190.3,38.3,7,1.98,46,13,63.1,0.46,379,4,4.59,6.83,10.7,178,11.32,1.74,3.95,1,10.11,47,31,482.5,25,218,56,11.41
1,2.48,280.5,64.6,3,1.22,48,8,60.6,0.64,74,1,4.05,5.81,10.59,210,12.43,1.92,3.81,3,10.43,66,49,327.4,22,29,55,19.96
1,2.82,161.9,70.9,7,1.49,60,15,395.8,0.75,152,1,4.71,6.1,9.82,120,10.53,1.09,3.39,2,13.09,46,41,280.8,24,188,77,57.45
1,2.3,30.9,46.7,8,1.92,33,3,215.8,0.5,61,4,6.32,9.02,13.53,203,14.17,1.54,5.32,2,13.02,67,41,472.2,20,214,45,26.29
5,2.43,163.6,27.1,6,0.78,41,7,203.1,0.43,77,1,4.46,6.14,9.4,162,9.98,1.16,4.18,2,7.53,50,50,840.2,33,61,34,20.2
5,2.55,106.7,51.7,7,0.68,77,11,423.6,0.44,361,3,4.17,5.93,9.49,165,11.36,1.39,3.26,2,7.64,74,39,704.3,31,282,84,45.47
3,2.66,39.7,94.1,4,0.47,44,9,161,0.76,445,1,3.74,4.85,11.06,204,12.99,1.21,3.22,3,12.23,68,47,270.7,25,182,95,40.88
1,2.76,150.1,72,8,2.39,44,10,353.9,0.34,368,3,6.36,9.36,13.59,200,14.78,2.65,5.14,3,15.6,45,44,268.2,44,244,85,24.16
3,2.84,176.8,97.7,6,1.24,67,9,101.5,0.87,253,3,5.53,6.92,14.77,201,16.35,2.04,3.97,3,10.4,50,35,237.2,30,26,81,47.21
3,2.57,282.8,36.2,3,2.48,42,5,78.4,0.95,471,3,3.78,4.38,10.08,142,10.83,0.96,3.17,1,13.64,47,48,587.9,20,210,92,49.65
3,2.32,70.5,50.4,5,1.02,71,11,118.2,0.58,375,1,2.3,3.25,6.68,135,8.18,0.56,2.23,3,13.15,64,41,642.8,37,176,90,21.48
6,2.94,244.9,41,5,1.5,49,14,270.7,0.85,436,4,4.8,5.26,13.34,117,15.34,1.03,4.15,1,19.86,51,54,487.1,38,195,82,41.31
5,2.49,92,62.6,5,1.27,14,9,186.4,0.48,283,2,5.31,6.56,14.88,187,16.71,1.08,4.76,2,15.99,51,51,949.2,34,81,70,26.69
6,2.98,138.5,82.5,4,1.69,88,12,249.3,0.41,121,3,5.54,6.25,12.69,215,13.64,1.41,4.14,2,6.17,73,34,456,41,153,70,27.51
1,2.31,102.8,49,8,0.97,1,15,298.8,0.75,359,4,4.28,5.57,11.87,115,13.26,1.22,3.95,2,12.04,63,41,898.7,34,117,79,42.21
5,2.69,160.2,72.8,10,2.22,32,12,218.1,0.94,207,1,3.8,4.75,8.66,247,9.46,1.33,3.48,3,17.26,46,42,158.8,44,42,96,52.06
3,2.46,63.4,83.1,4,2.41,68,3,290.3,0.82,69,2,5.52,6.81,14.55,161,16.41,2.18,3.91,3,16.25,53,47,243.1,41,291,91,46.61
4,2.28,299.9,62.6,10,1.83,75,13,436,0.93,304,4,3.84,5.65,11.42,129,12.53,1.88,3.71,2,13.25,56,43,306.6,39,111,90,57.58
3,2.66,286.8,96.8,5,1.32,26,8,314.6,0.95,251,3,3.21,4.13,8.46,119,9.41,1.2,2.55,1,8.61,65,46,789.9,35,286,43,61.02
1,2.27,249.4,47.5,4,0.69,22,7,164.9,0.61,138,1,3.74,4.88,9.03,81,10.72,1.69,3.35,3,18.81,68,35,701.8,36,234,95,33.45
5,2.36,119.4,90.2,3,0.19,68,9,314.1,0.46,460,2,5.22,7.37,11.46,216,12.63,1.9,4.39,1,13.49,74,36,153.3,39,210,86,25.07
5,2.58,218.5,80,7,1.7,76,4,221.5,0.99,499,1,4.14,4.66,9.1,207,10.38,1.14,4.08,3,9.9,55,48,765.5,33,3,39,54.03
3,2.41,239.8,88.1,9,1.35,4,2,409.5,0.44,431,4,3.98,5.24,11.18,151,12.41,1.61,3.56,3,11.02,51,40,373.5,32,249,66,25.48
5,2.28,30.2,98.2,8,2.35,8,14,357.1,0.67,436,4,6.62,8.14,13.46,98,15.11,1.7,5.7,3,19.16,57,47,124.2,40,118,55,42.55
3,2.99,129.1,38,10,1.39,2,8,116.8,0.46,323,1,4.17,4.58,9.45,241,11.05,1.58,4.06,1,5.45,59,47,549.4,21,115,35,23.27
5,2.61,296.7,22,3,0.55,36,7,149.6,0.98,33,4,2.32,2.74,6.48,108,7.64,0.89,1.68,3,18.3,68,41,185.9,27,14,73,53.61
5,2.66,258.9,40.3,3,2.26,65,15,215.8,0.65,160,3,3.48,4.87,10.01,206,11.96,1.34,3.33,3,12.31,54,43,553.8,20,23,78,42.56
3,2.35,253.9,80.2,10,1.58,63,11,198.8,0.81,356,4,4.14,4.31,8.6,171,10.07,0.85,3.02,3,9.74,73,54,101.8,34,222,46,48.35
5,2.57,201.1,45.6,8,1.97,14,6,260.6,0.36,229,1,5.43,7.73,14.13,173,14.75,1.65,5,2,14.78,62,45,762.4,39,155,36,10.73
3,2.24,241.2,25.5,10,2.13,38,6,396.5,0.54,419,2,5.71,8.49,11.68,121,13.32,2.4,4.94,1,7.38,66,49,146.6,43,300,62,40.71
3,2.35,102.6,43.3,3,1.04,17,9,266.2,0.74,294,1,5.31,6.3,10.93,120,12.31,2.51,3.83,2,8.14,57,49,595.4,34,278,49,49.15
3,2.32,139.7,92.5,9,1.04,76,6,207,0.62,97,2,5.05,5.83,11.37,152,12.94,2.05,4.11,1,14.57,67,44,237.2,42,231,88,27.03
3,2.97,20.8,88.4,6,1.06,85,15,68.2,0.95,175,2,4.21,5.84,8.91,136,9.86,1,3.68,2,17.77,73,49,195.3,43,188,52,51.45
4,2.76,217.7,97.5,6,1.35,76,10,98.1,0.67,166,4,5.1,5.68,12.3,184,12.92,1.79,4.32,2,13.41,73,42,896.1,32,73,35,26.05
4,2.9,134.7,20.5,3,0.83,26,1,323.7,0.79,17,3,4.42,5.1,10.34,197,11.45,2.08,3.88,1,19.91,54,53,856.6,24,135,52,55.84
3,2.65,182.2,32.9,6,2.11,77,5,276.8,0.35,166,1,4.66,6.78,9.96,100,11.14,1.09,4.23,3,13.41,52,41,985.7,36,294,40,23.25
1,2.99,71.7,33.7,6,0.18,34,3,266.2,0.58,213,1,2.67,3.29,6.46,93,7.22,0.6,2.63,1,16.68,48,47,543.8,26,280,71,36.8
4,2.82,289.4,39.7,7,1.85,68,13,455.9,0.72,383,2,4.49,6.15,12.43,152,13.84,2.2,4.48,1,15.51,45,49,488.4,28,168,46,41.03
1,2.83,73.5,79.7,10,1.17,69,9,125.8,0.47,328,2,5.43,5.69,13.18,80,14.89,2.34,4.93,3,11.91,50,51,348.5,31,108,72,21.85
5,2.49,269,51.9,9,1.22,90,5,392.5,0.93,478,3,6.72,9.73,14.87,176,16.05,2.48,5.74,3,5.56,72,39,474.5,39,156,72,51.88
3,2.48,264.7,72,5,1.57,71,10,235.6,0.87,286,1,5.23,6.38,14.42,82,16.33,2.22,3.79,2,17.17,60,51,370.8,37,32,68,50.91
4,2.9,216.4,85.9,3,0.5,81,4,299,0.81,313,2,3.03,3.13,7.99,181,9.46,1.45,2.91,1,18.73,60,43,575.2,21,130,99,53.53
3,2.96,191.8,58.4,9,0.1,44,3,141.5,0.5,263,1,2.67,3.33,6.71,82,8.03,0.82,2.18,3,12.7,63,43,525.7,33,199,41,25.97
5,2.36,149.2,52.7,6,1.42,90,15,218.4,0.86,280,2,2.85,3.98,7.84,114,8.69,1.26,2.14,1,7.72,74,43,597.2,22,167,67,46.4
5,2.51,73.1,56.9,6,1.12,22,3,178.3,0.8,169,4,6.16,8.01,12.45,244,14.12,2.47,4.32,1,7.45,62,51,624.1,31,80,82,54.7
6,2.63,145.9,74.1,4,1.49,25,4,144.5,0.87,299,2,3.12,3.56,6.95,188,8.04,1.03,2.55,1,6.46,64,44,269.7,28,197,78,47.39
5,2.93,81.2,75.9,7,2.42,38,8,416,0.76,463,4,3.73,5.1,7.59,117,8.3,1.59,3.04,1,17.07,75,41,778,21,150,68,48.44
5,2.69,154.9,45.3,5,0.8,29,11,375.5,0.96,74,3,3.79,5.03,7.75,156,8.91,1.42,3.03,2,13.18,53,33,900.1,20,249,86,65.49
6,2.66,64.2,22.1,10,1.22,86,5,436,0.62,57,3,5.28,6.73,14.74,206,15.99,1.86,4.7,2,10.83,71,37,905.2,28,289,72,36.79
1,2.68,50.4,54.5,6,1.59,55,11,301.8,0.63,174,3,3.23,4.63,6.98,202,8.24,0.76,2.74,2,18.26,46,31,625,23,45,50,45.05
3,2.41,120.5,57.9,5,0.95,59,8,247.9,0.74,413,4,4.17,5.96,9.12,205,9.99,1.04,3.14,1,5.25,59,33,446.3,38,273,30,40.35
4,2.38,215.8,61,7,1.7,53,15,311.9,0.3,413,1,4.69,6.68,12.08,88,12.86,1.71,4.68,1,14.79,58,31,379.7,24,251,83,9.71
5,2.29,278.5,74.7,10,1.52,47,4,458.4,0.76,427,1,4.79,5.96,10.91,76,11.48,1.71,3.53,1,13.1,64,35,605.2,24,201,80,53.91
5,2.25,199.7,41.8,3,0.77,13,15,371.7,0.87,150,3,5.72,6.98,13.2,123,14.22,1.52,5.49,2,10.63,74,50,533.3,26,127,58,44.06
3,2.21,58.8,63.3,3,1.67,26,5,168.8,0.84,294,4,6.88,10.06,13.95,149,15.56,3.39,6.78,3,16.49,66,38,175.8,27,154,91,33.9
5,2.89,227,38,9,1.05,23,3,174,0.41,231,1,5.83,7.89,12.84,184,13.45,2.81,4.83,3,11.35,46,53,405.5,30,123,72,21.74
4,3,26.5,69.6,7,0.38,0,10,64.2,0.82,403,4,5.53,6.92,11.18,174,11.74,2.48,4.55,1,9.96,50,52,529.1,41,298,93,43.17
4,2.22,262.4,67.2,10,2.01,49,6,391.1,0.82,198,3,5.22,7.6,11.14,147,12.14,2.31,4.29,1,9.67,66,32,501.3,35,22,93,56.77
6,2.24,49.4,42.7,3,0.91,19,10,93.6,0.42,84,1,2.73,3.42,7.74,96,9.36,0.97,2.47,2,14.74,75,31,506.1,30,154,91,17.33
6,2.28,56.5,60.8,3,0.34,15,1,379.5,0.72,71,4,5.7,6.82,12.99,95,13.58,1.24,4.43,1,14.46,64,43,257.7,23,20,48,55.78
1,2.67,30.1,43.7,3,0.68,55,7,156.4,0.55,436,3,3.21,3.88,6.46,183,7.73,1.07,2.8,2,19.51,50,47,857.3,44,197,46,22.16
1,2.86,26.3,60.3,3,2,23,2,238.1,0.96,137,1,3.56,4.37,8.31,210,9.01,1.7,3.13,3,19.3,48,45,344.2,43,154,94,59.9
5,2.49,45.6,82.3,5,1.1,27,12,126.8,0.6,54,3,2.34,3.06,6.44,206,7.3,1.01,2.21,3,5.01,75,52,109,43,252,31,26.29
4,3,212.5,20.6,3,1.54,89,15,274.8,0.34,387,4,3.11,4.05,7.39,144,9.17,1.11,2.34,3,7.28,54,39,123,39,160,40,19.51
6,2.61,261.5,97.6,6,1.98,3,11,415.9,0.34,165,2,3.71,4.29,10.93,174,11.53,1.37,2.7,3,15.42,71,41,563.2,31,167,87,38.32
1,2.85,180.9,61,5,0.17,39,12,188.7,0.79,401,1,3.81,4.18,9.33,228,10.77,1.42,3.33,1,13.51,73,30,507.4,20,138,64,45.69
3,2.92,289,29.9,5,0.34,51,6,315.9,0.88,109,1,2.98,3.07,6.94,124,8.01,1.21,2.77,2,10.58,70,38,882.9,20,97,89,47.95
3,2.25,60.5,48.1,4,2.15,86,11,277.5,0.44,105,4,5.78,7.36,13.49,176,15.24,2.64,5.1,2,12.08,55,32,485.3,31,124,38,16.59
6,2.89,220.8,30.2,4,1.85,0,3,108.7,0.88,456,4,2.97,3.84,8.72,113,9.32,1.44,2.29,1,19.9,63,51,923.1,35,223,47,38.46
1,2.96,99,90.8,10,0.67,70,13,346.5,0.32,299,4,4.8,5.31,9.93,225,10.89,1.04,4.41,3,6.15,63,41,462.2,36,293,95,15.42
4,3,212,97.7,4,0.85,75,5,344.3,0.5,238,3,2.88,3.48,8.28,160,8.95,1.25,2.32,2,7.65,45,53,786.1,34,181,93,44.18
4,2.87,60.6,94,5,0.83,20,3,483.4,0.96,290,4,2.89,3.57,7.58,96,9.24,0.74,2.58,1,9.78,69,49,710.5,38,240,62,66.81
5,2.27,27.7,80.7,6,0.56,5,9,222.7,0.57,93,4,3.2,4.4,7.85,172,9.47,0.89,2.28,1,8.91,59,40,215.6,42,154,37,40.67
6,2.4,232.9,74.1,4,0.23,70,15,210.6,0.54,402,1,2.63,3.63,6.81,95,7.93,1.22,2.22,2,8.06,45,32,302,21,45,50,40.4
4,2.45,64.9,50,9,0.11,67,5,284.5,0.95,223,2,3.37,4.04,9.58,123,11.17,1.35,2.56,1,11.18,74,38,383.3,43,66,47,64.26
5,2.27,269.4,94.9,7,0.5,60,15,170.4,0.65,226,4,4.99,6.72,10.18,248,11.62,2.15,3.99,2,13.4,58,45,928.8,45,12,89,29.84
5,2.66,288.2,51.3,10,0.82,87,10,74.7,0.91,382,3,4.8,5.96,10.12,128,10.71,1.24,3.92,2,16.59,66,46,452.9,43,173,97,38.95
5,2.26,281.4,49.4,4,0.69,90,7,103.2,0.43,414,1,5.71,7.88,13.89,200,15.84,1.29,5.62,1,6.91,57,47,319.6,39,282,51,17.35
4,2.74,88.2,84.1,6,0.45,58,4,354.6,0.82,280,2,5.02,7.18,14.7,239,16.18,2.28,4.35,1,12.11,72,35,919.1,40,274,51,44.97
1,2.94,260.5,59.4,3,1.88,86,3,387.7,0.54,126,3,4.95,5.11,11.59,217,13.24,1.79,4.73,1,16.52,54,39,472.7,38,20,79,38.93
1,2.84,210.5,92.1,9,0.15,83,6,216.9,0.57,34,2,3.68,5.01,10.51,153,11.62,0.78,2.71,1,7.22,72,44,624,24,219,61,28.97
4,2.24,173.8,91.8,7,2.2,45,14,472.4,0.65,381,1,4.14,6.01,11.38,174,11.97,1.58,3.7,1,19.14,56,30,284.5,29,218,82,53.65
5,2.31,20.7,28.9,7,1.75,83,2,80,0.81,434,1,4.87,6.69,10.74,158,12.22,1.88,3.61,1,12.24,64,47,119,39,207,83,40.73
6,2.56,194.3,76.4,7,0.14,87,1,84.2,0.6,243,4,5.79,7.44,13.34,216,14.15,1.59,5.62,2,15.51,74,43,978.8,37,74,50,13.53
